"","plot","cipa_1.2014A","cipa_2.2014A","cipa_3.2014A","cipa_1.2014B","cipa_2.2014B","cipa_3.2014B","cipa_1.2015A","cipa_2.2015A","cipa_3.2015A","cipa_1.2015B","cipa_2.2015B","cipa_3.2015B","cipa_1.2015C","cipa_2.2015C","cipa_3.2015C","cipa_1.2016A","cipa_2.2016A","cipa_3.2016A","cipa_1.2016B","cipa_2.2016B","cipa_3.2016B","cipa_1.2016C","cipa_2.2016C","cipa_3.2016C","obs_skill.2014A","obs_skill.2014B","obs_skill.2015A","obs_skill.2015B","obs_skill.2015C","obs_skill.2016A","obs_skill.2016B","obs_skill.2016C","doy.2014A","doy.2014B","doy.2015A","doy.2015B","doy.2015C","doy.2016A","doy.2016B","doy.2016C","hr.rise.2014A","hr.rise.2014B","hr.rise.2015A","hr.rise.2015B","hr.rise.2015C","hr.rise.2016A","hr.rise.2016B","hr.rise.2016C","HOURLYDRYBULBTEMPC.2014A","HOURLYDRYBULBTEMPC.2014B","HOURLYDRYBULBTEMPC.2015A","HOURLYDRYBULBTEMPC.2015B","HOURLYDRYBULBTEMPC.2015C","HOURLYDRYBULBTEMPC.2016A","HOURLYDRYBULBTEMPC.2016B","HOURLYDRYBULBTEMPC.2016C","HOURLYWindSpeed.2014A","HOURLYWindSpeed.2014B","HOURLYWindSpeed.2015A","HOURLYWindSpeed.2015B","HOURLYWindSpeed.2015C","HOURLYWindSpeed.2016A","HOURLYWindSpeed.2016B","HOURLYWindSpeed.2016C","surv_ct14","surv_ct15","surv_ct16"
"65",32,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,1,1,1,0,1,1,0,NA,148,250,150,224,232,236,242,NA,5.06462752262751,5.92746058609751,8.63329127927621,7.22584398057726,5.13053768197695,8.50426098326842,9.21590461558766,NA,24.4,23.3,14.4,27.2,21.7,25,25,NA,8,16,9,9,11,15,8,NA,6,9,6
"67",33,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,1,1,1,1,0,1,1,NA,147,236,182,222,228,234,242,NA,8.13644663287534,7.81109382761849,7.279132302271,4.34941131532192,6.57832828998566,5.81152494490147,5.16590461558766,NA,26.1,23.9,23.9,23.9,21.7,23.9,22.2,NA,7,15,3,7,6,16,7,NA,6,9,6
"69",34,"0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"0","0","0","0","0","0","0","0","0",1,1,1,1,NA,1,0,0,148,251,165,231,NA,158,234,237,6.24796085596085,8.69055606239372,10.4457866591215,8.11749859809876,NA,6.49250450379319,8.2448582782348,8.18396615935696,26.1,21,22.8,21.7,NA,18.9,27.2,20,9,9,10,14,NA,9,18,11,6,6,9
"71",35,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,1,1,0,0,1,0,0,148,251,132,224,236,165,229,242,6.84796085596085,9.32388939572705,11.3901173953878,7.64251064724392,7.01600765294499,7.56229454060396,11.8129715304242,10.2325712822543,26.1,21,17.2,26.1,20,18.3,27.8,25,9,9,16,9,17,7,3,7,6,9,9
"73",36,"0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0",1,1,1,1,0,1,0,0,148,236,165,223,236,165,234,237,4.89796085596085,8.71109382761849,9.07911999245485,11.8126478507121,7.73267431961166,6.67896120727062,8.97819161156813,8.7672994926903,21.7,23.9,23.3,28.3,21.1,17.8,27.2,20,6,15,13,14,14,7,18,11,6,9,9
"75",37,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,1,1,0,0,1,0,0,148,251,165,224,236,158,235,243,5.51462752262751,7.89055606239372,9.69578665912151,8.42584398057726,8.29934098627832,7.44250450379319,7.99122552507453,5.46231124016974,24.4,21,23.3,26.1,21.7,18.9,27.8,22.8,8,9,13,8,11,6,15,7,6,9,9
"77",38,"1","1","1","0","0","0","0","3","2","0","0","0","0","3","3","1","3","0","2","12","2","0","1","3",1,1,1,1,1,1,1,0,176,237,146,225,236,141,234,244,9.10997030251556,5.40746573077308,13.154549650285,11.2723385109504,6.19934098627832,9.38052528070079,10.6281916115681,7.82539074805048,27.2,19.4,26.7,31.7,20,25,27.8,22.2,11,8,3,6,17,6,21,5,6,9,9
"79",39,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,1,1,0,0,1,0,0,176,259,151,228,236,163,229,243,8.19330363584889,8.79500418199433,8.89309307290448,7.42832828998566,9.88267431961166,8.47658954275979,10.6629715304242,9.74564457350307,26.7,24.4,18.9,23.3,22.8,25.6,27.8,25,11,0,11,7,13,16,0,6,6,9,9
"81",40,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,1,1,1,1,0,1,0,NA,153,265,160,225,236,163,238,NA,12.529513934652,7.73912656300598,9.53573236962159,6.88900517761707,9.44934098627832,9.54325620942646,7.53034227715598,NA,22.8,23.3,25,30,22.8,25,21.1,NA,6,14,9,6,13,13,5,NA,6,9,6
"83",41,"0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"0","0","0","0","0","0","0","0","0",1,1,1,1,NA,1,0,1,147,251,159,231,NA,168,235,245,8.98644663287534,5.84055606239372,12.4317507001426,7.00083193143209,NA,4.69430360178153,10.0578921917412,8.2884759851959,26.7,21,32.2,20.6,NA,23.3,27.2,22.8,6,9,5,11,NA,17,14,15,6,6,9
