"","plot","hele_1.2015A","hele_2.2015A","hele_3.2015A","hele_1.2015B","hele_2.2015B","hele_3.2015B","hele_1.2016A","hele_2.2016A","hele_3.2016A","hele_1.2016B","hele_2.2016B","hele_3.2016B","doy.2015A","doy.2015B","doy.2016A","doy.2016B","liatris1_num.2015A","liatris2_num.2015A","liatris3_num.2015A","liatris1_num.2015B","liatris2_num.2015B","liatris3_num.2015B","liatris1_num.2016A","liatris2_num.2016A","liatris3_num.2016A","liatris1_num.2016B","liatris2_num.2016B","liatris3_num.2016B","surv_ct15","surv_ct16","totgrass.z","bunchgrass.z","oaks.z","canopy.z","numwood.z","mounds.z","blowouts.z","plotlvl_liatris.z","plotlvl_milkweed.z","litter.z","DY_pre2015","DY_ge2015","DY_pre2014","DY_ge2014","UDY_ge2015","burned_pre2015","harvest_pre2015","type_pre2015","burnGraze_ge2015","harvest_ge2015","type_ge2015","elev_CV.z"
"35",35,"0","0","0","0","0","0","0","0","0","0","0","0",224,236,229,242,0,0,0,0,0,0,0,0,0,0,0,0,6,6,-0.590564964883834,-0.276237052795596,-0.675580367531473,0.216707158155371,-1.33345408744357,0.421991835647445,-0.130188910980824,-0.821664448037027,-0.519633160964472,2.83320357595974,1,0,1,0,0,0,1,"clearcut",0,0,"none",-1.04349480136085
"36",36,"0","0","0","0","0","0","0","0","0","0","0","0",223,236,234,237,0,0,0,0,0,0,0,0,0,0,0,0,6,6,-1.08661966262487,-0.831723968778559,-0.675580367531473,-1.30337817640425,-0.102050676816821,0.421991835647445,-0.130188910980824,-0.798147105355746,-0.103926632192894,-1.0208818525419,1,0,1,0,0,0,0,"pines planted",0,0,"none",-1.25457703612681
"37",37,"0","0","0","0","0","0","0","0","0","0","0","0",224,236,235,243,0,0,0,0,0,0,0,0,0,0,0,0,6,6,-0.996427899399224,-0.831723968778559,-0.675580367531473,-1.30337817640425,0.06977305489854,0.421991835647445,-0.130188910980824,-0.785340631618415,2.39031254043657,-1.0208818525419,1,0,1,0,0,0,0,"pines planted",0,0,"none",-0.701154641977287
"38",38,"0","0","0","0","0","0","0","0","0","0","0","0",225,236,234,244,0,3,0,0,10.5,0,0,0,0,0,3,0,6,6,1.16817441801619,1.05693154556352,0.323398120798274,-0.081757085616609,-1.19026764434744,-0.54209406186269,-0.130188910980824,-0.552262809598988,-0.103926632192894,-0.861622124091416,0,0,0,0,0,0,0,"none",0,0,"none",2.1923323208248
"39",39,"0","0","0","0","0","0","0","0","0","0","0","0",228,236,229,243,20,10.5,0,20,10.5,20,3,0,20,0,3,20,6,6,0.266256785759767,0.390347246383961,-0.675580367531473,-0.435749560788027,1.01480357933302,-0.0600511131076228,-0.130188910980824,0.716043780350882,-0.519633160964472,-0.32013904735978,0,1,0,1,0,0,0,"none",0,1,"harvest",0.0677693223569117
"40",40,"0","0","0","0","0","0","0","0","0",NA,NA,NA,225,236,238,NA,0,0,3,3,20,20,10.5,0,3,NA,NA,NA,6,3,-0.725852609722297,-0.831723968778559,-0.623002552356223,-0.664803515310709,-0.588884583343676,-0.54209406186269,-0.130188910980824,0.392156417284925,-0.103926632192894,0.380603757822336,0,0,0,0,0,0,0,"none",0,0,"none",-0.726849327058938
"41",41,"0","0","0",NA,NA,NA,"0","0","0","0","0","0",231,NA,235,245,0,0,0,NA,NA,NA,0,0,0,3,0,0,3,6,0.40154443059823,0.334798554785664,-0.623002552356223,-0.310811040139291,0.928891713475344,-0.0600511131076228,-0.130188910980824,-0.702401250795917,-0.519633160964472,1.04949461731436,0,0,0,0,0,0,0,"none",0,0,"none",-0.534313610069211
"42",42,"1","0","1","0","0","0","0","0","0","0","0","0",222,232,238,243,3,0,3,20,20,0,10.5,20,10.5,10.5,20,0,6,6,0.0407773776956611,0.0570550967941823,0.481131566324023,1.01492548452229,-0.789345603678264,-0.54209406186269,-0.130188910980824,0.843177137816024,-0.519633160964472,0.699123214723298,1,0,1,0,0,0,1,"clearcut",0,0,"none",-0.1839027642942
"43",43,"0","0","0","0","0","0","0","0","0","0","0","0",222,232,234,245,3,0,0,20,0,10.5,0,0,0,3,0,0,6,6,1.12307853640337,1.22357762035841,2.89971106438552,-0.05399296991689,1.21526459966761,3.31424952817785,-0.130188910980824,-0.254221238984735,-0.519633160964472,-0.543102667190454,1,0,1,0,0,0,1,"clearcut",0,0,"none",0.471489881178631
"44",45,"0","0","0","0","1","0","0","0","0","0","0","0",224,236,234,238,20,0,0,3,10.5,0,0,3,3,10.5,3,0,6,6,-0.500373201658192,-0.276237052795596,-0.623002552356223,1.10515886054638,1.24390188828684,1.38607773315758,7.55095683688779,-0.00833694322797662,5.30025824183762,-0.351990993049877,0,1,0,1,0,0,0,"none",0,1,"harvest",1.10444491473209
